🐼电视公告,#genre#

温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8$官方源ᴴᴰ
接口免费,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
拒绝收费,http://8.138.7.223/tv/cctv7.m3u8$榴芒电视
如果已收,https://cccimg.com/down.php/a2edaf1d6c0d503f8f7b0b21a3aad670.mp4
申请退费,https://gitee.com/tv2785/iptv/raw/master/ad.mp4
更新2025-5-5,https://gitee.com/tv2785/iptv/raw/master/ad.mp4
已运行526天,https://gitee.com/tv2785/iptv/raw/master/ad.mp4
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.flv?wsAuth=fd695c444eeee99cc6122ed396c805ba&token=cpn-androidmpro-0-488743-df8b1830ef2e6ce156759645768df95bf77749da61fcc901&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2


凤凰中文,http://b.tvbox6.icu/【公众号：榴芒电视】/fhzw.m3u8
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://203.205.191.53/qctv.fengshows.cn/live/0701phk72.m3u8

搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv

CCTV1,http://8.138.7.223/tv/ptbtv.php?id=27
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV13,http://8.138.7.223/tv/gzjs.m3u8
CCTV13,http://8.138.7.223/tv/ptbtv.php?id=28
北京卫视4K,http://8.138.7.223/tv/bjws4k.m3u8
浙江卫视,http://8.138.7.223/tv/zjws.m3u8
河北卫视,http://8.138.7.223/tv/hebtv.m3u8
内蒙古卫视,http://8.138.7.223/tv/nmgws.m3u8
兵团卫视,http://8.138.7.223/tv/btws.m3u8

百姓健康,http://8.138.7.223/tv/bxjk.m3u8


凤凰电影,https://ali.hlspull.yximgs.com/live/diyp_fhdy.flv
东森电影,https://ali.hlspull.yximgs.com/live/11q2w3e4r5t6y7u8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
龙祥时代,https://ali.hlspull.yximgs.com/live/14r5t6y7u8i9o0p1q2w3e4r5t6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
龙祥电影,https://ali.hlspull.yximgs.com/live/diyp_lxdy.flv
V音乐,https://ali.hlspull.yximgs.com/live/diyp_v.flv

人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
音乐欣赏1,http://61.221.215.25:8800/hls/49/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8




💝河南有线,#genre#
CCTV1高清,http://8.138.7.223/tv/hhzt.php?id=1
CCTV2高清,http://8.138.7.223/tv/hhzt.php?id=2
CCTV3高清,http://8.138.7.223/tv/hhzt.php?id=3
CCTV4高清,http://8.138.7.223/tv/hhzt.php?id=4
CCTV5高清,http://8.138.7.223/tv/hhzt.php?id=5
